# ----------------------------------------
# Pages and screens: Page title and screen class
# Account: Oktay Shakirov
# Property: TinnitusHelp.me
# ----------------------------------------
# 
# All Users
# Start date: 20231216
# End date: 20260113
Page title and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Tinnitus Help | The Ultimate Guide to Tinnitus Relief,1813,735,2.466666666666667,11.985034013605443,4323,0,0
"Tinnitus Help Blog | Tips, Treatments & Resources for Relief",502,162,3.0987654320987654,18.64814814814815,703,0,0
Tinnitus Help | Sound Therapy - Relaxing Sounds for Tinnitus Relief,352,169,2.0828402366863905,6.4733727810650885,460,0,0
Tinnitus Help | Celebrities with Tinnitus,337,320,1.053125,16.121875,1152,0,0
Tinnitus Help | TinnitusHelp.me,305,124,2.4596774193548385,20.758064516129032,789,0,0
TinnitusHelp.me | AirPods and Tinnitus: A New Hope,245,206,1.1893203883495145,28.33495145631068,795,0,0
Gamer's Guide to Hearing Health | Tinnitus Help,146,73,2,11.794520547945206,320,0,0
Tinnitus Help | Tags,129,75,1.72,3.1733333333333333,168,0,0
(not set),125,94,1.3297872340425532,4.0212765957446805,280,0,0
Your Tinnitus as a Stress-o-Meter | Tinnitus Help,108,67,1.6119402985074627,27.865671641791046,244,0,0
TinnitusHelp.me App | Tinnitus Help,103,82,1.2560975609756098,9.487804878048781,353,0,0
Morning Ritual Ambiance | Tinnitus Help,91,70,1.3,6.8428571428571425,251,0,0
Is Tinnitus Hereditary? | Tinnitus Help,84,62,1.3548387096774193,9.32258064516129,247,0,0
The Impact of Noise Pollution | Tinnitus Help,82,75,1.0933333333333333,54.88,312,0,0
AirPods and Tinnitus: A New Hope,77,65,1.1846153846153846,34.63076923076923,233,0,0
Tinnitus Blog | Beyond the Buzz,67,49,1.3673469387755102,3.795918367346939,189,0,0
Evening Background Blur | Tinnitus Help,62,36,1.7222222222222223,13.305555555555555,97,0,0
About Us | Tinnitus Help,61,52,1.1730769230769231,8.076923076923077,132,0,0
Tinnitus Help | Tinnitus: Myths vs. Reality,61,53,1.150943396226415,21.962264150943398,197,0,0
404: This page could not be found,56,51,1.0980392156862746,1.1568627450980393,194,0,0
Did Van Gogh Have Tinnitus?,56,51,1.0980392156862746,32.98039215686274,164,0,0
